7,7,7,6,0,0
8,2,5,2,0,0
3,7,3,6,0,0
5,3,5,4,0,0
5,7,5,6,0,0
1,3,1,4,0,0
2,9,3,7,0,0
2,2,1,3,0,0
8,8,6,6,0,0
3,1,4,2,0,0
3,7,2,5,0,0
1,3,2,4,0,0
1,7,1,6,0,0
4,2,5,3,0,0
1,6,1,5,0,0
1,4,1,5,0,1
2,8,1,8,0,0
1,5,1,6,0,0
2,7,2,6,0,0
1,6,1,7,1,0
1,8,5,8,0,0
20,1,1,8,0,0
1,9,1,8,0,1
1,7,1,8,0,2
10,1,1,2,0,0
5,2,1,2,0,1
9,7,9,6,0,0
1,8,2,9,0,0
3,9,3,8,0,0
1,2,1,9,1,0
3,8,2,9,0,11
1,9,2,9,0,4
10,1,1,2,0,0
20,2,6,5,0,0
6,6,7,5,0,0
4,1,5,2,0,0
1,2,1,1,1,2
6,5,6,7,1,1
5,8,3,8,0,0
20,4,5,7,0,0
1,1,2,1,0,3
20,1,1,7,0,0
10,3,4,5,0,0
5,3,4,2,0,0
4,9,3,9,0,0
2,9,1,9,0,0
4,5,3,3,1,1
1,7,1,8,1,0
3,3,2,3,0,1
2,4,1,5,0,0
10,2,2,7,0,0
1,8,2,9,0,0
3,9,4,9,0,0
2,9,2,8,0,0
3,8,3,7,0,0
20,1,3,8,0,0
2,5,1,3,1,0
3,8,3,9,1,0
7,5,4,2,1,4
5,2,4,2,0,17
10,4,5,2,0,0
4,2,5,2,0,4
6,9,5,8,0,0
3,9,4,9,0,5
5,9,6,9,0,0
5,7,5,8,0,5
